name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Routine,6aKGYktnFTdyEnVn6qvecF,3,2017-07-25,miss,326.32162999999997,-3.553,119.93700000000001,0.784,4,1.0,9,0.552,0,0.491,0.054,0.616,0.963,0.0,0.158,0.197,0.572
Aa Devudu,6dJDmaA7Urln6htIUDm1YU,0,2017-04-18,miss,253.86667000000003,-8.038,95.0,0.9209999999999999,4,0.992,3,0.184,0,0.078,0.304,0.742,0.559,0.00235,0.123,0.0331,0.773
Sanna Mullu,6f3BoLGh6qDH4PDCkyZDis,0,2017-07-18,miss,165.6,-9.814,100.015,0.755,4,1.0,7,0.929,1,0.595,0.109,0.886,0.682,1.58e-06,0.456,0.214,0.717
Na Peru Mythili,6fpmyMPi93njhNYIL3f1Ad,0,2017-06-25,miss,249.64776,-6.212000000000001,154.952,0.815,4,1.0,1,0.653,1,0.546,0.25,0.838,0.818,0.000547,0.0673,0.274,0.562
Heartukulla,6kNr36b85fjPsGVIIYhHvh,42,2017-12-24,miss,231.48385,-3.9589999999999996,154.921,0.222,4,1.0,2,0.5820000000000001,1,0.6729999999999999,0.267,0.776,0.927,1.76e-06,0.0711,0.25,0.445
Kela,6lQrnCfpzkCINz2E7BVemZ,0,2017-10-10,miss,166.90413,-4.6819999999999995,184.27,0.342,4,1.0,9,0.677,0,0.616,0.181,0.783,0.739,0.0,0.0997,0.381,0.815
Idhayam,6m6L31tfLTBaB6JdnROn8b,0,2017-11-02,miss,346.66667,-7.416,89.97399999999999,0.439,4,0.998,2,0.628,1,0.638,0.402,0.539,0.676,0.000101,0.304,0.0297,0.514
Dooreyaavani,6nV9T8oSFeKV6pDW2Z1Izb,8,2017-04-05,miss,231.6,-8.248,100.00200000000001,0.434,4,0.975,2,0.391,0,0.38,0.177,0.576,0.56,0.00103,0.131,0.0271,0.291
Gaali Pannura,6o3aEV8SIYDRm6KChk5reJ,13,2017-11-22,miss,145.87478000000002,-4.721,160.039,0.5660000000000001,4,1.0,8,0.5760000000000001,1,0.625,0.0894,0.722,0.675,0.00143,0.354,0.061,0.384
Dooram Nuvve Undaloi,6pu1hMZqJ8za1V9ZvBhOKr,2,2017-06-26,miss,194.5,-4.872,125.021,0.46799999999999997,4,0.992,11,0.319,0,0.299,0.0902,0.756,0.791,9.33e-05,0.103,0.051,0.384
Nada Da Raja,6srIDOUp5CChsiWlNqXXKI,28,2017-06-26,miss,210.74998,-6.039,179.99599999999998,0.326,4,1.0,9,0.532,1,0.039,0.0788,0.514,0.953,0.0,0.198,0.321,0.475
Dard Alif Hai,6z8GJ5UIKTlydLRvaP1yhP,0,2017-01-20,miss,228.74998,-10.737,106.773,0.031,3,0.629,0,0.852,1,0.738,0.763,0.398,0.204,0.0,0.106,0.0328,0.262
